;0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0;26.0;27.0;28.0;29.0;30.0;31.0;32.0;33.0;34.0;35.0;36.0;37.0;38.0;39.0;40.0;41.0;42.0;43.0;44.0;45.0;46.0;47.0;48.0;49.0;50.0;51.0;52.0;53.0;54.0;55.0;56.0;57.0;58.0;59.0;60.0;61.0;62.0;63.0;64.0;65.0;66.0;67.0;68.0;69.0;70.0;71.0;72.0;73.0;74.0;75.0;76.0;77.0;78.0;79.0;80.0;81.0;82.0;83.0;84.0;85.0;87.0;89.0;92.0;97.0
9;1;1;1;0;2;1;1;7;5;4;1;8;7;0;2;1;0;0;0;0;1;2;1;2;0;0;0;0;3;3;1;6;3;0;0;1;0;4;2;6;4;8;4;4;5;4;7;9;14;16;17;41;60;64;56;59;45;19;8;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;1;6;1;1;1;3;4;7;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;11;3;1;2;1;1;0;0;2;2;4;6;6;2;3;1;3;2;3;1;3;13;6;13;16;24;37;33;45;17;18;13;9;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;1;1;1;0;1;1;0;0;4;5;3;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;2;1;0;0;3;2;0;0;1;2;2;0;0;1;2;3;3;4;2;4;2;1;2;1;0;6;4;4;4;3;2;14;11;15;16;11;21;8;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;1;0;0;1;0;2;5;1;10;1;1;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;3;1;1;1;0;2;1;1;1;3;1;4;2;2;1;4;5;2;5;2;4;0;2;4;10;8;6;2;7;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;1;0;1;0;0;0;0;0;0;0;1;2;0;8;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;2;0;1;0;0;1;0;1;1;2;3;0;0;0;2;1;1;1;0;4;3;2;1;1;1;0;4;2;3;4;3;4;2;0;0;0;1;0;0;0;0;0;0
14;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;2;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;1;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;4;3;3;0;0;0;1;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
17;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
19;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
